Sr. No,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Region,Occupation,Product_Category,Orders,Amount
244,1004680,Ballard,P00215542,F,36-45,45,0,Delhi,Central,Textile,Footwear & Shoes,1,20500
245,1005108,Erica,P00158742,M,26-35,26,0,Himachal Pradesh,Northern,Aviation,Furniture,4,20495
246,1005446,Sheetal,P00059442,M,51-55,52,0,Karnataka,Southern,Chemical,Furniture,1,20494
247,1002181,Sweta,P00363342,F,26-35,27,1,Karnataka,Southern,Banking,Footwear & Shoes,1,20493
248,1004485,Jim,P00339842,F,26-35,35,0,Kerala,Southern,Media,Furniture,2,20492
249,1006040,Pond,P00111142,F,26-35,27,0,Karnataka,Southern,Food Processing,Footwear & Shoes,2,20488
250,1003272,Pinky,P00324642,M,36-45,42,1,Delhi,Central,IT Sector,Footwear & Shoes,2,20486
251,1001757,Eleni,P0095542,F,26-35,28,1,Karnataka,Southern,Textile,Footwear & Shoes,1,20486
252,1001969,Klamczynski,P00160042,M,26-35,28,0,Delhi,Central,Chemical,Footwear & Shoes,1,20484
253,1003694,Bellavance,P00115942,F,26-35,35,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,4,20483
254,1004436,Talbott,P0096542,F,26-35,28,0,Kerala,Southern,Retail,Tupperware,2,20477
255,1001260,Dheeraj,P00274042,F,26-35,35,1,Madhya Pradesh,Central,Aviation,Footwear & Shoes,3,20477
256,1004064,Skach,P0097142,F,46-50,48,0,Delhi,Central,Banking,Footwear & Shoes,2,20476
